Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Musical Theatre,University of Worcester,2024,"Performing arts, Dance, Drama studies, Music, Theatre studies, Musical theatre",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Millennium Performing Arts, Rudolf Steiner House, None, London, NW1 6XT, Unknown"
Marketing,"Aston University, Birmingham",2024,Marketing,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Aston Triangle, None, Birmingham, B4 7ET, Unknown"
Economics,London Metropolitan University,2024,Economics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Holloway, 166-220 Holloway Road, , Islington, N7 8DB, Unknown"
Neuroscience,The University of Edinburgh,2024,Neurobiology,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Mathematics,"City, University of London",2024,Mathematics,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City, University of London, Northampton Square, None, London, EC1V 0HB, Unknown"
Chemistry,University of Huddersfield,2024,"Science, Chemistry, Analytical chemistry, Applied chemistry, Organic chemistry, Colour chemistry",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Queensgate, None, Huddersfield, HD1 3DH, Unknown"
Sports Science and Coaching,Shrewsbury Colleges Group,2024,Sports studies,Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, LONDON ROAD, None, Shrewsbury, SY2 6PR, Unknown"
Art and Design,University of Bedfordshire,2024,"Art, Design, Creative arts, Creative studies, Communication design, Illustration, Graphic arts, Graphic communication, Graphic design, Arts, Arts and crafts, Community arts, Fine art, Art history, Art theory, Computer aided design, Design history, Design management, Design technology, Design theory, Display design, Media design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
Law,Leeds Beckett University,2024,Law,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City CampusC, City Centre Campus, None, Leeds, LS1 3HE, Unknown"
Engineering (General Engineering),East Riding College,2024,Engineering,Part-time,"{'quantity': 1.5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Beverley Campus, Flemingate Centre, None, Beverley, HU17 0GH, Unknown"
Communications and English,Nottingham Trent University,2024,"English, English language, English linguistics, English literature, Literature, Communication studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Campus, Nottingham Trent University, None, Nottingham, NG1 4FQ, Unknown"
Business Management,University of East London,2024,"Business studies, Business administration, Management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Stratford Campus, Water Lane, None, Stratford, E15 4LZ, Unknown"
Medicine - Canadian Programme,University of St Andrews,2024,"Medicine and surgery, Medicine (general and para-medical)",Full-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","St Andrews, yrs 1-3, Scotland, yrs 4 - 6, University Of St Andrews, , St Andrews, KY16 9AX, Unknown"
Geography,Aberystwyth University,2024,"Geography, Physical geography, Human geography",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Archaeology/Theology & Religious Studies,University of Glasgow,2024,"Archaeology, Theology, Anthropological archaeology, Classical archaeology, Environmental archaeology, European archaeology, Field archaeology, Comparative religion, Religious philosophy, Religious sociology, Religious studies, Religious thought, Humanities, Biblical studies",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Mechanical Engineering with Robotics (with an industrial placement year),University of Sussex,2024,"Mechanical engineering, Mathematical engineering, Electromechanical engineering, Industrial design engineering, Computer aided engineering, Control engineering, Engineering systems, Fluid engineering, Motor vehicle engineering, Robotics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Childhood and Education Studies (Online),University College Birmingham,2024,"Child care, Child development, Child protection, Educational studies, Learning disability studies, Learning support, Nursery schools (primary teaching), Special needs, Science (primary teaching), Art (primary teaching), Craft (primary teaching), Dance (primary teaching), Creative arts (primary teaching), Environment (primary teaching), English (primary teaching), General primary (primary teaching), Humanities (primary teaching), History (primary teaching), Information technology (primary teaching), Mathematics (primary teaching), Physical education (primary teaching), Religious education (primary teaching)",Online study,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University College Birmingham, Summer Row, None, Birmingham, B3 1JB, Unknown"
Biological Science (With Professional Practice Year),University of Bedfordshire,2024,"Biological sciences, Applied biology, Applied microbiology, Biology, Cell biology, Environmental health microbiology, Evolutionary biology, Human biology, Microbiology, Molecular biology, Applied biochemistry, Applied chemistry, Biochemistry, Chemistry, Clinical biochemistry, Clinical chemistry, Molecular biochemistry, Plant biochemistry, Molecular genetics, Molecular chemistry, Environmental science, Human physiology, Biotechnology, Food microbiology",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
English Literature,University of Roehampton,2024,"English literature, English, Childrens literature, Eighteenth-century literature, Dramatic literature, Modern literature, Nineteenth-century literature, American literature, Literary studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Erasmus House, , London, SW15 5PU, Unknown"
Creative Writing,Sheffield Hallam University,2024,Creative writing,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, City Campus, , Sheffield, S1 1WB, Unknown"
International Relations,University of Southampton,2024,"International relations, Politics, Political theory, British politics, Comparative politics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Social Anthropology,"London School of Economics and Political Science, University of London",2024,"Anthropology, Social anthropology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Houghton Street, None, London, WC2A 2AE, Unknown"
International Business,Glasgow Caledonian University,2024,"Human resource management, Marketing, Finance, Trade, Law, Economics, International business studies",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Cowcaddens Road, None, Glasgow, G4 0BA, Unknown"
Economics,"Goldsmiths, University of London",2024,"Economics, Econometrics, Social studies, Political economy",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Biomedical Engineering,Nottingham Trent University,2024,Biomedical engineering,Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Clifton Campus, Nottingham Trent University, , Nottingham, NG11 8NS, Unknown"
International Business with Communications,University of Birmingham,2024,"Communication studies, International business studies, Business studies",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Anthropology,Bournemouth University,2024,"Anthropology, Biological anthropology, Anatomy, Human physiology, Anthropological archaeology, Archaeology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
Aerospace Engineering,Queen Mary University of London,2024,"Aerospace engineering, Engineering, Engineering systems, Engineering technology, Aeronautical engineering, Aerodynamics, Aeronautics, Air transport engineering, Aircraft engineering, Astronautics, Aviation",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Wildlife Conservation,Bangor University,2024,"Wildlife management, Biodiversity, Environmental conservation, Environmental protection, Forestry, Ecosystems",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Computer Science,University of Bolton,2024,"Computer science, Business computing, Information technology, Computers, Computer studies, Artificial intelligence, Software engineering, Software, Computer applications, Database design, Computer information systems, Computer languages, Computer programming, Computer communication, Computer maintenance, Computer networking, Computer networks, Data processing, Data analysis, Data communications, Database studies, Data-processing management, Cyber Security, Cyber, Cybersecurity, Business information technology, Computer engineering, Neural networks, Computer control, Computer simulation, Computer graphics, Internet technology, Internet of things, Applied computer studies, Computer management studies, Industrial information technology, Information systems, Management information systems, Informatics, Systems, Systems analysis, Systems management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Bolton Main Site, Greater Manchester, Deane Road, None, Bolton, BL3 5AB, Unknown"
Chemical Engineering,University of Birmingham,2024,Chemical engineering,Full-time with year in industry,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
"Sport, Coaching and Physical Education (with Foundation Year)",Bishop Grosseteste University,2024,"Sports studies, Sports coaching, Physical education, Community sport, Sports therapy, Exercise science, Exercise and fitness, Sports science, Teaching, Education",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bishop Grosseteste University, , Lincoln, LN1 3DY, Unknown"
Chemistry,University of Bristol,2024,Chemistry,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
